,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,code_city_100,code_city_102,code_city_103,code_city_104,code_city_11,code_city_114,code_city_136,code_city_16,code_city_160,code_city_21,code_city_28,code_city_61,code_city_67,code_city_71,code_city_73,code_city_75,code_city_90,code_code_other,city_development_index,training_hours,target
0,4,2,1,3,1,22,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92,36,1.0
1,4,1,1,3,1,16,4,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.7759999999999999,47,0.0
2,1,1,2,3,1,6,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.624,83,0.0
3,1,1,1,3,2,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.789,52,1.0
4,4,2,1,4,1,22,4,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.767,8,0.0
5,1,2,3,3,1,12,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.764,24,1.0
6,4,2,1,2,1,6,4,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.92,24,0.0
7,4,2,1,3,1,14,2,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.762,18,1.0
8,4,2,1,3,1,8,4,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92,46,1.0
9,1,2,1,3,1,18,9,2,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92,123,0.0
10,1,1,2,2,1,3,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.624,32,1.0
11,4,2,1,3,1,6,8,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92,108,0.0
12,4,2,1,3,1,22,7,2,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.913,23,0.0
13,4,1,1,3,1,3,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.624,24,0.0
14,1,1,2,2,1,6,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.624,26,0.0
15,4,2,1,3,1,17,3,2,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.926,18,0.0
16,1,2,1,3,1,2,4,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92,106,0.0
17,1,2,1,3,1,3,8,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.624,7,0.0
18,1,2,1,3,1,8,9,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.624,23,1.0
19,3,2,1,3,3,5,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.8270000000000001,132,1.0
20,4,2,1,4,1,12,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.843,68,0.0
21,4,2,1,4,1,12,5,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.926,50,0.0
